No,Nama Function,Kategori,Sintaks,Deskripsi,Contoh Kasus,Tingkat,Catatan
148,TBILLEQ,Financial,"=TBILLEQ(settlement, maturity, discount)",Menghitung bond-equivalent yield Treasury bill,0.051343368,2. Intermediate,
149,TBILLPRICE,Financial,"=TBILLPRICE(settlement, maturity, discount)",Menghitung harga per $100 face value Treasury bill,98.73611111,2. Intermediate,
150,TBILLYIELD,Financial,"=TBILLYIELD(settlement, maturity, pr)",Menghitung yield Treasury bill,0.20821284,2. Intermediate,
151,VDB,Financial,"=VDB(cost, salvage, life, start_period, end_period, [factor], [no_switch])",Menghitung depresiasi aset untuk periode tertentu menggunakan metode declining balance,"£1,200.00",2. Intermediate,
152,XIRR,Financial,"=XIRR(values, dates, [guess])",Menghitung internal rate of return untuk arus kas yang tidak periodik,0.409077853,3. Advanced,
153,XNPV,Financial,"=XNPV(rate, values, dates)",Menghitung net present value untuk arus kas yang tidak periodik,"=XNPV(0.05,{300,400,500},{""01-01-2025"",""01-04-2025"",""01-07-2025""})",3. Advanced,
154,YIELD,Financial,"=YIELD(settlement, maturity, rate, pr, redemption, frequency, [basis])",Menghitung yield sekuritas dengan bunga periodik,0.121489143,2. Intermediate,
155,YIELDDISC,Financial,"=YIELDDISC(settlement, maturity, pr, redemption, [basis])","Menghitung annual yield sekuritas diskonto, misal Treasury bill",0.210526316,2. Intermediate,
156,YIELDMAT,Financial,"=YIELDMAT(settlement, maturity, issue, rate, [basis])",Menghitung annual yield sekuritas yang membayar bunga saat jatuh tempo,"=YIELDMAT(""01-04-2025"",""01-01-2026"",""01-01-2025"",0.05)",2. Intermediate,
157,CELL,Informational,"=CELL(info_type, [reference])","Mengembalikan informasi tentang format, lokasi, atau isi sel. Tidak tersedia di Excel untuk web",$A$1,0. Basic,
158,ERROR.TYPE,Informational,=ERROR.TYPE(error_val),Mengembalikan angka yang sesuai dengan tipe error,2,0. Basic,
159,INFO,Informational,=INFO(type_text),Mengembalikan info lingkungan operasional saat ini. Tidak tersedia di Excel untuk web,pcdos,0. Basic,
160,ISBLANK,Informational,=ISBLANK(value),Mengembalikan TRUE jika sel kosong,=ISBLANK(A1),0. Basic,
161,ISERR,Informational,=ISERR(value),Mengembalikan TRUE jika sel berisi error kecuali #N/A,=ISERR(A1),0. Basic,
162,ISERROR,Informational,=ISERROR(value),Mengembalikan TRUE jika sel berisi error apapun,=ISERROR(A1),0. Basic,
163,ISEVEN,Informational,=ISEVEN(number),Mengembalikan TRUE jika angka genap,=ISEVEN(4),0. Basic,
164,ISFORMULA,Informational,=ISFORMULA(reference),Mengembalikan TRUE jika sel berisi formula,=ISFORMULA(A1),0. Basic,
165,ISLOGICAL,Informational,=ISLOGICAL(value),Mengembalikan TRUE jika sel berisi nilai logika,=ISLOGICAL(TRUE),0. Basic,
166,ISNA,Informational,=ISNA(value),Mengembalikan TRUE jika sel berisi error #N/A,=ISNA(A1),0. Basic,
167,ISNONTEXT,Informational,=ISNONTEXT(value),Mengembalikan TRUE jika sel bukan teks,=ISNONTEXT(A1),0. Basic,
168,ISNUMBER,Informational,=ISNUMBER(value),Mengembalikan TRUE jika sel berisi angka,=ISNUMBER(A1),0. Basic,
169,ISODD,Informational,=ISODD(number),Mengembalikan TRUE jika angka ganjil,=ISODD(5),0. Basic,
170,ISREF,Informational,=ISREF(value),Mengembalikan TRUE jika sel berisi referensi,=ISREF(A1),0. Basic,
171,ISTEXT,Informational,=ISTEXT(value),Mengembalikan TRUE jika sel berisi teks,=ISTEXT(A1),0. Basic,
172,N,Informational,=N(value),Mengubah nilai menjadi angka,=N(TRUE) ? 1,0. Basic,
173,NA,Informational,=NA(),Mengembalikan error #N/A,=NA(),0. Basic,
174,SHEET,Informational,=SHEET([reference]),Mengembalikan nomor sheet dari referensi,1,0. Basic,
175,SHEETS,Informational,=SHEETS([reference]),Mengembalikan jumlah sheet dalam referensi,1,0. Basic,
176,TYPE,Informational,=TYPE(value),Mengembalikan angka yang menunjukkan tipe data,2,0. Basic,
177,AND,Logical,"=AND(logical1, [logical2], …)",Mengembalikan TRUE jika semua argumen TRUE,FALSE,0. Basic,
178,FALSE,Logical,=FALSE(),Mengembalikan nilai logika FALSE,=FALSE(),0. Basic,
179,IF,Logical,"=IF(logical_test, value_if_true, value_if_false)",Menentukan pengujian logika,Dewasa,0. Basic,
180,IFERROR,Logical,"=IFERROR(value, value_if_error)",Mengembalikan nilai tertentu jika formula error,Error,0. Basic,
181,IFNA,Logical,"=IFNA(value, value_if_na)",Mengembalikan nilai tertentu jika hasil #N/A,CUBEMEMBER,0. Basic,
182,IFS,Logical,"=IFS(condition1, value1, [condition2, value2], …)",Mengecek satu atau lebih kondisi dan mengembalikan nilai sesuai kondisi TRUE pertama,A,0. Basic,
183,NOT,Logical,=NOT(logical),Membalik logika argumen,=NOT(TRUE) ? FALSE,0. Basic,
184,OR,Logical,"=OR(logical1, [logical2], …)",Mengembalikan TRUE jika salah satu argumen TRUE,"=OR(A1>5,B1<10)",0. Basic,
185,SWITCH,Logical,"=SWITCH(expression, value1, result1, [value2, result2], …, [default])",Mengevaluasi ekspresi terhadap daftar nilai dan mengembalikan hasil dari nilai yang cocok pertama,Lainnya,0. Basic,
186,TRUE,Logical,=TRUE(),Mengembalikan nilai logika TRUE,=TRUE(),0. Basic,
187,XOR,Logical,"=XOR(logical1, [logical2], …)",Mengembalikan logika exclusive OR dari semua argumen,"=XOR(A1>5,B1<10)",0. Basic,
188,ADDRESS,Lookup and Reference,"=ADDRESS(row_num, column_num, [abs_num], [a1], [sheet_text])",Mengembalikan referensi sebagai teks ke sebuah sel,"=ADDRESS(1,1) ? $A$1",0. Basic,
189,AREAS,Lookup and Reference,=AREAS(reference),Mengembalikan jumlah area dalam referensi,"=AREAS(A1:B2, C1:D2) ? 2",0. Basic,
190,CHOOSE,Lookup and Reference,"=CHOOSE(index_num, value1, [value2], …)",Memilih nilai dari daftar,"=CHOOSE(2,""Merah"",""Biru"",""Hijau"") ? ""Biru""",0. Basic,
191,COLUMN,Lookup and Reference,=COLUMN([reference]),Mengembalikan nomor kolom,=COLUMN(B1) ? 2,0. Basic,
192,COLUMNS,Lookup and Reference,=COLUMNS(array),Mengembalikan jumlah kolom dalam referensi,=COLUMNS(A1:C1) ? 3,0. Basic,
193,FILTER,Lookup and Reference,"=FILTER(array, include, [if_empty])",Memfilter data berdasarkan kriteria,,2. Intermediate,
194,FORMULATEXT,Lookup and Reference,=FORMULATEXT(reference),Mengembalikan formula dalam sel sebagai teks,=FORMULATEXT(B1),0. Basic,
195,GETPIVOTDATA,Lookup and Reference,"=GETPIVOTDATA(data_field, pivot_table, [field1, item1], …)",Mengambil data dari PivotTable,"=GETPIVOTDATA(""Sales"",A3)",2. Intermediate,
196,HLOOKUP,Lookup and Reference,"=HLOOKUP(lookup_value, table_array, row_index_num, [range_lookup])",Mencari di baris pertama dan mengembalikan nilai,"=HLOOKUP(101,A1:D2,2,FALSE)",0. Basic,
197,HYPERLINK,Lookup and Reference,"=HYPERLINK(link_location, [friendly_name])",Membuat shortcut atau link,Klik disini,0. Basic,
198,INDEX,Lookup and Reference,"=INDEX(array, row_num, [column_num])",Mengambil nilai berdasarkan indeks,Add-in and Automation,0. Basic,
199,INDIRECT,Lookup and Reference,"=INDIRECT(ref_text, [a1])",Mengembalikan referensi berdasarkan teks,No,0. Basic,
200,LOOKUP,Lookup and Reference,"=LOOKUP(lookup_value, lookup_vector, [result_vector])",Mencari nilai dalam vektor,CUBEMEMBER,0. Basic,
201,MATCH,Lookup and Reference,"=MATCH(lookup_value, lookup_array, [match_type])",Mencari posisi item,"=MATCH(25,A1:A10,0) ? 3",0. Basic,
202,OFFSET,Lookup and Reference,"=OFFSET(reference, rows, cols, [height], [width])",Mengembalikan referensi offset,,2. Intermediate,
203,ROW,Lookup and Reference,=ROW([reference]),Mengembalikan nomor baris,=ROW(B3) ? 3,0. Basic,
204,ROWS,Lookup and Reference,=ROWS(array),Mengembalikan jumlah baris,=ROWS(A1:A10) ? 10,0. Basic,
205,RTD,Lookup and Reference,"=RTD(progID, server, topic1, [topic2], …)",Mengambil data real-time dari program COM,"=RTD(""progid"",""server"",""topic"")",3. Advanced,
206,SORT,Lookup and Reference,"=SORT(array, [sort_index], [sort_order], [by_col])",Mengurutkan isi range atau array,,2. Intermediate,
207,SORTBY,Lookup and Reference,"=SORTBY(array, by_array1, [sort_order1], …)",Mengurutkan range berdasarkan array lain,"=SORTBY(A1:A10,B1:B10,1)",2. Intermediate,
208,TRANSPOSE,Lookup and Reference,=TRANSPOSE(array),Mengembalikan transpose array,=TRANSPOSE(A1:C2),0. Basic,
209,UNIQUE,Lookup and Reference,=UNIQUE(array),Mengembalikan nilai unik dari range,=UNIQUE(A1:A10),0. Basic,
210,VLOOKUP,Lookup and Reference,"=VLOOKUP(lookup_value, table_array, col_index_num, [range_lookup])",Mencari di kolom pertama dan mengembalikan nilai,"=VLOOKUP(101,A1:C10,3,FALSE)",0. Basic,
211,XLOOKUP,Lookup and Reference,"=XLOOKUP(lookup_value, lookup_array, return_array, [if_not_found], [match_mode], [search_mode])",Mencari item dan mengembalikan nilai sesuai match pertama,"=XLOOKUP(101,A1:A10,B1:B10,""Not found"")",2. Intermediate,
212,XMATCH,Lookup and Reference,"=XMATCH(lookup_value, lookup_array, [match_mode], [search_mode])",Mengembalikan posisi relatif item dalam array,"=XMATCH(101,A1:A10)",2. Intermediate,
213,ABS,Math and Trigonometry,=ABS(number),Mengembalikan nilai absolut,=ABS(-5) ? 5,0. Basic,
214,ACOS,Math and Trigonometry,=ACOS(number),Mengembalikan arccosine dari angka,=ACOS(0.5) ? 1.0472 (radian),0. Basic,
215,ACOSH,Math and Trigonometry,=ACOSH(number),Mengembalikan inverse hyperbolic cosine,=ACOSH(2) ? 1.31696,2. Intermediate,
216,ACOT,Math and Trigonometry,=ACOT(number),Mengembalikan arccotangent dari angka,=ACOT(1) ? 0.7854 (radian),2. Intermediate,
217,ACOTH,Math and Trigonometry,=ACOTH(number),Mengembalikan hyperbolic arccotangent,=ACOTH(2) ? 0.5493,3. Advanced,
218,AGGREGATE,Math and Trigonometry,"=AGGREGATE(function_num, options, array, [k])",Mengembalikan agregat dari list atau database,45,2. Intermediate,
219,ARABIC,Math and Trigonometry,=ARABIC(text),Mengubah angka Romawi menjadi angka Arabic,"=ARABIC(""XIV"") ? 14",0. Basic,
220,ASIN,Math and Trigonometry,=ASIN(number),Mengembalikan arcsine dari angka,=ASIN(0.5) ? 0.5236 (radian),0. Basic,
221,ASINH,Math and Trigonometry,=ASINH(number),Mengembalikan inverse hyperbolic sine,=ASINH(1) ? 0.8814,2. Intermediate,
222,ATAN,Math and Trigonometry,=ATAN(number),Mengembalikan arctangent dari angka,=ATAN(1) ? 0.7854 (radian),0. Basic,
223,ATAN2,Math and Trigonometry,"=ATAN2(x_num, y_num)",Mengembalikan arctangent dari koordinat x dan y,"=ATAN2(1,1) ? 0.7854",2. Intermediate,
224,ATANH,Math and Trigonometry,=ATANH(number),Mengembalikan inverse hyperbolic tangent,=ATANH(0.5) ? 0.5493,2. Intermediate,
225,BASE,Math and Trigonometry,"=BASE(number, radix, [min_length])",Mengubah angka menjadi teks dalam basis tertentu,"=BASE(10,2) ? ""1010""",0. Basic,
226,CEILING.MATH,Math and Trigonometry,"=CEILING.MATH(number, [significance], [mode])",Membulatkan ke atas,"=CEILING.MATH(4.3,1) ? 5",0. Basic,
227,CEILING.PRECISE,Math and Trigonometry,"=CEILING.PRECISE(number, [significance])","Membulatkan ke atas, independen tanda","=CEILING.PRECISE(-4.3,1) ? -4",0. Basic,
228,COMBIN,Math and Trigonometry,"=COMBIN(number, number_chosen)",Menghitung jumlah kombinasi,"=COMBIN(5,2) ? 10",0. Basic,
229,COMBINA,Math and Trigonometry,"=COMBINA(number, number_chosen)",Menghitung kombinasi dengan pengulangan,"=COMBINA(3,2) ? 6",0. Basic,
230,COS,Math and Trigonometry,=COS(number),Mengembalikan cosinus dari angka,=COS(PI()/3) ? 0.5,0. Basic,
231,COSH,Math and Trigonometry,=COSH(number),Mengembalikan hyperbolic cosine,=COSH(1) ? 1.5431,2. Intermediate,
232,COT,Math and Trigonometry,=COT(number),Mengembalikan cotangent dari sudut,=COT(PI()/4) ? 1,2. Intermediate,
233,COTH,Math and Trigonometry,=COTH(number),Mengembalikan hyperbolic cotangent,=COTH(1) ? 1.3130,3. Advanced,
234,CSC,Math and Trigonometry,=CSC(number),Mengembalikan cosecant dari sudut,=CSC(PI()/2) ? 1,3. Advanced,
235,CSCH,Math and Trigonometry,=CSCH(number),Mengembalikan hyperbolic cosecant,=CSCH(1) ? 0.8509,3. Advanced,
236,DECIMAL,Math and Trigonometry,"=DECIMAL(text, radix)",Mengubah teks angka basis tertentu ke desimal,"=DECIMAL(""1010"",2) ? 10",0. Basic,
237,DEGREES,Math and Trigonometry,=DEGREES(radians),Mengubah radian ke derajat,=DEGREES(PI()) ? 180,0. Basic,
238,EVEN,Math and Trigonometry,=EVEN(number),Membulatkan angka ke bilangan genap terdekat,=EVEN(3) ? 4,0. Basic,
239,EXP,Math and Trigonometry,=EXP(number),Mengembalikan e dipangkatkan angka,=EXP(1) ? 2.71828,0. Basic,
240,FACT,Math and Trigonometry,=FACT(number),Mengembalikan faktorial angka,=FACT(5) ? 120,0. Basic,
241,FACTDOUBLE,Math and Trigonometry,=FACTDOUBLE(number),Mengembalikan double faktorial,=FACTDOUBLE(6) ? 48,3. Advanced,
242,FLOOR.MATH,Math and Trigonometry,"=FLOOR.MATH(number, [significance], [mode])",Membulatkan ke bawah,"=FLOOR.MATH(4.7,1) ? 4",0. Basic,
243,FLOOR.PRECISE,Math and Trigonometry,"=FLOOR.PRECISE(number, [significance])","Membulatkan ke bawah, independen tanda","=FLOOR.PRECISE(-4.7,1) ? -5",0. Basic,
244,GCD,Math and Trigonometry,"=GCD(number1, [number2], …)",Mengembalikan pembagi terbesar,"=GCD(12,18) ? 6",0. Basic,
245,INT,Math and Trigonometry,=INT(number),Membulatkan ke bawah ke integer terdekat,=INT(4.7) ? 4,0. Basic,
246,ISO.CEILING,Math and Trigonometry,"=ISO.CEILING(number, significance)",Membulatkan ke atas ke kelipatan tertentu,"=ISO.CEILING(5.5,2) ? 6",2. Intermediate,
247,LCM,Math and Trigonometry,"=LCM(number1, [number2], …)",Mengembalikan kelipatan terkecil,"=LCM(12,18) ? 36",0. Basic,
248,LET,Math and Trigonometry,"=LET(name1, value1, calculation)",Menyimpan nilai sementara dalam formula,"=LET(x,5,x+10) ? 15",3. Advanced,
249,LN,Math and Trigonometry,=LN(number),Mengembalikan logaritma natural,=LN(2.71828) ? 1,0. Basic,
250,LOG,Math and Trigonometry,"=LOG(number, [base])",Mengembalikan logaritma basis tertentu,"=LOG(100,10) ? 2",0. Basic,
251,LOG10,Math and Trigonometry,=LOG10(number),Mengembalikan logaritma basis 10,=LOG10(100) ? 2,0. Basic,
252,MDETERM,Math and Trigonometry,=MDETERM(array),Mengembalikan determinan matriks,=MDETERM(A1:C3),3. Advanced,
253,MINVERSE,Math and Trigonometry,=MINVERSE(array),Mengembalikan invers matriks,=MINVERSE(A1:C3),3. Advanced,
254,MMULT,Math and Trigonometry,"=MMULT(array1,array2)",Mengembalikan hasil perkalian matriks,"=MMULT(A1:C3,D1:F3)",3. Advanced,
255,MOD,Math and Trigonometry,"=MOD(number, divisor)",Mengembalikan sisa bagi,"=MOD(10,3) ? 1",0. Basic,
256,MROUND,Math and Trigonometry,"=MROUND(number, multiple)",Membulatkan ke kelipatan tertentu,"=MROUND(7,3) ? 6",0. Basic,
257,MULTINOMIAL,Math and Trigonometry,"=MULTINOMIAL(number1, [number2], …)",Mengembalikan multinomial dari angka,"=MULTINOMIAL(2,3) ? 10",3. Advanced,
258,MUNIT,Math and Trigonometry,=MUNIT(dimension),Mengembalikan matriks identitas,=MUNIT(3) ? 3x3 identity matrix,3. Advanced,
259,ODD,Math and Trigonometry,=ODD(number),Membulatkan angka ke bilangan ganjil terdekat,=ODD(3) ? 3,0. Basic,
260,PI,Math and Trigonometry,=PI(),Mengembalikan nilai ?,=PI() ? 3.14159265359,0. Basic,
261,POWER,Math and Trigonometry,"=POWER(number, power)",Mengembalikan angka dipangkatkan,"=POWER(2,3) ? 8",0. Basic,
262,PRODUCT,Math and Trigonometry,"=PRODUCT(number1, [number2], …)",Mengalikan semua argumen,"=PRODUCT(2,3,4) ? 24",0. Basic,
263,QUOTIENT,Math and Trigonometry,"=QUOTIENT(numerator, denominator)",Mengembalikan bagian integer dari pembagian,"=QUOTIENT(10,3) ? 3",0. Basic,
264,RADIANS,Math and Trigonometry,=RADIANS(degrees),Mengonversi derajat ke radian,=RADIANS(180) ? 3.14159265,0. Basic,
265,RAND,Math and Trigonometry,=RAND(),Mengembalikan angka acak antara 0 dan 1,=RAND() ? 0.3745,0. Basic,
266,RANDARRAY,Math and Trigonometry,"=RANDARRAY([rows],[columns],[min],[max],[whole_number])",Mengembalikan array angka acak,"=RANDARRAY(2,3,0,10,TRUE)",3. Advanced,
267,RANDBETWEEN,Math and Trigonometry,"=RANDBETWEEN(bottom,top)",Mengembalikan angka acak antara nilai yang ditentukan,"=RANDBETWEEN(1,10) ? 7",0. Basic,
268,ROMAN,Math and Trigonometry,"=ROMAN(number,[form])",Mengonversi angka arab ke romawi,=ROMAN(2025) ? MMXXV,0. Basic,
269,ROUND,Math and Trigonometry,"=ROUND(number,num_digits)",Membulatkan angka ke digit tertentu,"=ROUND(3.14159,2) ? 3.14",0. Basic,
270,ROUNDDOWN,Math and Trigonometry,"=ROUNDDOWN(number,num_digits)",Membulatkan angka ke bawah,"=ROUNDDOWN(3.14159,2) ? 3.14",0. Basic,
271,ROUNDUP,Math and Trigonometry,"=ROUNDUP(number,num_digits)",Membulatkan angka ke atas,"=ROUNDUP(3.14159,2) ? 3.15",0. Basic,
272,SEC,Math and Trigonometry,=SEC(number),Mengembalikan secan dari sudut,=SEC(PI()/3) ? 2,0. Basic,
273,SECH,Math and Trigonometry,=SECH(number),Mengembalikan secan hiperbolik dari sudut,=SECH(0) ? 1,0. Basic,
274,SEQUENCE,Math and Trigonometry,"=SEQUENCE(rows,[columns],[start],[step])",Menghasilkan daftar angka berurutan,"=SEQUENCE(4) ? 1,2,3,4",3. Advanced,
275,SERIESSUM,Math and Trigonometry,"=SERIESSUM(x,n,m,coefficients)",Mengembalikan jumlah deret pangkat,17,3. Advanced,
276,SIGN,Math and Trigonometry,=SIGN(number),Mengembalikan tanda angka,=SIGN(-5) ? -1,0. Basic,
277,SIN,Math and Trigonometry,=SIN(number),Mengembalikan sinus dari sudut,=SIN(PI()/2) ? 1,0. Basic,
278,SINH,Math and Trigonometry,=SINH(number),Mengembalikan sinus hiperbolik dari angka,=SINH(1) ? 1.175201,0. Basic,
279,SQRT,Math and Trigonometry,=SQRT(number),Mengembalikan akar kuadrat positif,=SQRT(16) ? 4,0. Basic,
280,SQRTPI,Math and Trigonometry,=SQRTPI(number),Mengembalikan akar kuadrat dari (angka*?),=SQRTPI(2) ? 2.506628,0. Basic,
281,SUBTOTAL,Math and Trigonometry,"=SUBTOTAL(function_num,ref1,[ref2],...)",Mengembalikan subtotal dari daftar atau database,"=SUBTOTAL(9,A1:A10) ? jumlah",2. Intermediate,
282,SUM,Math and Trigonometry,"=SUM(number1,[number2],...)",Menjumlahkan semua argumen,"=SUM(1,2,3) ? 6",0. Basic,
283,SUMIF,Math and Trigonometry,"=SUMIF(range,criteria,[sum_range])",Menjumlahkan sel yang memenuhi kriteria,30,0. Basic,
284,SUMIFS,Math and Trigonometry,"=SUMIFS(sum_range,criteria_range1,criteria1,...)",Menjumlahkan sel berdasarkan beberapa kriteria,0,2. Intermediate,
285,SUMPRODUCT,Math and Trigonometry,"=SUMPRODUCT(array1,[array2],...)",Mengembalikan jumlah hasil perkalian komponen array,0,2. Intermediate,
286,SUMSQ,Math and Trigonometry,"=SUMSQ(number1,[number2],...)",Menjumlahkan kuadrat argumen,"=SUMSQ(2,3) ? 13",0. Basic,
287,SUMX2MY2,Math and Trigonometry,"=SUMX2MY2(array_x,array_y)",Menjumlahkan selisih kuadrat array,"=SUMX2MY2({1,2},{3,4}) ? 5",3. Advanced,
288,SUMX2PY2,Math and Trigonometry,"=SUMX2PY2(array_x,array_y)",Menjumlahkan jumlah kuadrat array,"=SUMX2PY2({1,2},{3,4}) ? 30",3. Advanced,
289,SUMXMY2,Math and Trigonometry,"=SUMXMY2(array_x,array_y)",Menjumlahkan kuadrat selisih array,"=SUMXMY2({1,2},{3,4}) ? 5",3. Advanced,
290,TAN,Math and Trigonometry,=TAN(number),Mengembalikan tangen sudut,=TAN(PI()/4) ? 1,0. Basic,
291,TANH,Math and Trigonometry,=TANH(number),Mengembalikan tangen hiperbolik angka,=TANH(1) ? 0.761594,0. Basic,
292,TRUNC,Math and Trigonometry,"=TRUNC(number,[num_digits])",Memotong angka menjadi integer,=TRUNC(4.7) ? 4,0. Basic,
293,AVEDEV,Statistical,"=AVEDEV(number1,[number2],...)",Mengembalikan rata-rata deviasi absolut dari titik data terhadap rata-ratanya,"=AVEDEV(1,2,3,4) ? 1",0. Basic,
294,AVERAGE,Statistical,"=AVERAGE(number1,[number2],...)",Mengembalikan rata-rata dari argumen,"=AVERAGE(1,2,3,4) ? 2.5",0. Basic,
295,AVERAGEA,Statistical,"=AVERAGEA(value1,[value2],...)","Mengembalikan rata-rata dari argumen termasuk angka, teks, dan logika","=AVERAGEA(1,TRUE, ""3"") ? 1.333",0. Basic,
296,AVERAGEIF,Statistical,"=AVERAGEIF(range,criteria,[average_range])",Mengembalikan rata-rata sel yang memenuhi kriteria,7.5,0. Basic,
297,AVERAGEIFS,Statistical,"=AVERAGEIFS(average_range,criteria_range1,criteria1,...)",Mengembalikan rata-rata sel yang memenuhi beberapa kriteria,"=AVERAGEIFS(B1:B10,A1:A10,"">5"",C1:C10,""<10"")",2. Intermediate,
298,BETA.DIST,Statistical,"=BETA.DIST(x,alpha,beta,cumulative,[A],[B])",Mengembalikan fungsi distribusi beta kumulatif,"=BETA.DIST(0.5,2,2,TRUE) ? 0.5",3. Advanced,
299,BETA.INV,Statistical,"=BETA.INV(probability,alpha,beta,[A],[B])",Mengembalikan invers dari fungsi distribusi beta kumulatif,"=BETA.INV(0.5,2,2) ? 0.5",3. Advanced,
300,BINOM.DIST,Statistical,"=BINOM.DIST(number_trials,probability_s,trials,cumulative)",Mengembalikan probabilitas binomial,"=BINOM.DIST(2,0.5,3,FALSE) ? 0.375",3. Advanced,
301,BINOM.DIST.RANGE,Statistical,"=BINOM.DIST.RANGE(trials,probability_s,s,t)",Mengembalikan probabilitas hasil percobaan binomial,"=BINOM.DIST.RANGE(3,0.5,2,3) ? 0.5",3. Advanced,
302,BINOM.INV,Statistical,"=BINOM.INV(trials,probability_s,alpha)",Mengembalikan nilai terkecil dengan distribusi binomial kumulatif ? ?,"=BINOM.INV(3,0.5,0.5) ? 1",3. Advanced,
303,CHISQ.DIST,Statistical,"=CHISQ.DIST(x,deg_freedom,cumulative)",Mengembalikan distribusi chi-kuadrat kumulatif,"=CHISQ.DIST(2,1,TRUE) ? 0.8427",3. Advanced,
304,CHISQ.DIST.RT,Statistical,"=CHISQ.DIST.RT(x,deg_freedom)",Mengembalikan probabilitas satu sisi distribusi chi-kuadrat,"=CHISQ.DIST.RT(2,1) ? 0.1573",3. Advanced,
305,CHISQ.INV,Statistical,"=CHISQ.INV(probability,deg_freedom)",Mengembalikan invers distribusi chi-kuadrat kumulatif,"=CHISQ.INV(0.8427,1) ? 2",3. Advanced,
306,CHISQ.INV.RT,Statistical,"=CHISQ.INV.RT(probability,deg_freedom)",Mengembalikan invers probabilitas satu sisi chi-kuadrat,"=CHISQ.INV.RT(0.1573,1) ? 2",3. Advanced,
307,CHISQ.TEST,Statistical,"=CHISQ.TEST(actual_range,expected_range)",Mengembalikan uji independensi chi-kuadrat,"=CHISQ.TEST(A1:B10,C1:D10)",3. Advanced,
308,CONFIDENCE.NORM,Statistical,"=CONFIDENCE.NORM(alpha,standard_dev,size)",Mengembalikan interval kepercayaan untuk rata-rata populasi,"=CONFIDENCE.NORM(0.05,2,25) ? 0.784",2. Intermediate,
309,CONFIDENCE.T,Statistical,"=CONFIDENCE.T(alpha,standard_dev,size)",Mengembalikan interval kepercayaan dengan distribusi t,"=CONFIDENCE.T(0.05,2,25) ? 0.816",2. Intermediate,
310,CORREL,Statistical,"=CORREL(array1,array2)",Mengembalikan koefisien korelasi antar dua dataset,"=CORREL(A1:A10,B1:B10) ? 0.87",2. Intermediate,
311,COUNT,Statistical,"=COUNT(value1,[value2],...)",Menghitung jumlah angka di argumen,"=COUNT(1,2,""a"") ? 2",0. Basic,
312,COUNTA,Statistical,"=COUNTA(value1,[value2],...)",Menghitung jumlah nilai (termasuk teks/logika),"=COUNTA(1,""a"",TRUE) ? 3",0. Basic,
313,COUNTBLANK,Statistical,=COUNTBLANK(range),Menghitung jumlah sel kosong dalam range,=COUNTBLANK(A1:A10) ? 2,0. Basic,
314,COUNTIF,Statistical,"=COUNTIF(range,criteria)",Menghitung jumlah sel yang memenuhi kriteria,"=COUNTIF(A1:A10,"">5"") ? 3",0. Basic,
315,COUNTIFS,Statistical,"=COUNTIFS(criteria_range1,criteria1,[criteria_range2,criteria2],...)",Menghitung jumlah sel berdasarkan beberapa kriteria,"=COUNTIFS(A1:A10,"">5"",B1:B10,""<10"") ? 2",2. Intermediate,
316,COVARIANCE.P,Statistical,"=COVARIANCE.P(array1,array2)",Mengembalikan kovarians populasi,"=COVARIANCE.P(A1:A10,B1:B10) ? 1.25",3. Advanced,
317,COVARIANCE.S,Statistical,"=COVARIANCE.S(array1,array2)",Mengembalikan kovarians sampel,"=COVARIANCE.S(A1:A10,B1:B10) ? 1.35",3. Advanced,
318,DEVSQ,Statistical,"=DEVSQ(number1,[number2],...)",Mengembalikan jumlah kuadrat deviasi dari rata-rata,"=DEVSQ(1,2,3) ? 2",2. Intermediate,
319,EXPON.DIST,Statistical,"=EXPON.DIST(x,lambda,cumulative)",Mengembalikan distribusi eksponensial,"=EXPON.DIST(2,1,TRUE) ? 0.865",3. Advanced,
320,F.DIST,Statistical,"=F.DIST(x,deg_freedom1,deg_freedom2,cumulative)",Mengembalikan distribusi probabilitas F,"=F.DIST(2,3,5,TRUE) ? 0.857",3. Advanced,
321,F.DIST.RT,Statistical,"=F.DIST.RT(x,deg_freedom1,deg_freedom2)",Mengembalikan distribusi probabilitas F sisi kanan,"=F.DIST.RT(2,3,5) ? 0.143",3. Advanced,
322,F.INV,Statistical,"=F.INV(probability,deg_freedom1,deg_freedom2)",Mengembalikan invers distribusi F kumulatif,"=F.INV(0.857,3,5) ? 2",3. Advanced,
323,F.INV.RT,Statistical,"=F.INV.RT(probability,deg_freedom1,deg_freedom2)",Mengembalikan invers distribusi F sisi kanan,"=F.INV.RT(0.143,3,5) ? 2",3. Advanced,
324,F.TEST,Statistical,"=F.TEST(array1,array2)",Mengembalikan hasil uji F,"=F.TEST(A1:A10,B1:B10) ? 0.15",3. Advanced,
325,FISHER,Statistical,=FISHER(x),Mengembalikan transformasi Fisher dari nilai korelasi,=FISHER(0.5) ? 0.5493,3. Advanced,
326,FISHERINV,Statistical,=FISHERINV(y),Mengembalikan invers transformasi Fisher,=FISHERINV(0.5493) ? 0.5,3. Advanced,
327,FORECAST,Statistical,"=FORECAST(x,known_y's,known_x's)",Mengembalikan nilai sepanjang tren linier,"=FORECAST(10,B1:B10,A1:A10) ? 25",2. Intermediate,"Digunakan di Excel 2016+, digantikan dengan FORECAST.LINEAR"
